Date,GD,CG,PCG_Jacobi,PCG_SSOR,PCG_IChol,SPY
2023-01-03,0.9890038674596038,0.9890066339474984,0.9890029809167207,0.9890029793928391,0.9890029793928377,
2023-01-04,1.0169753479178236,1.0169717123998099,1.0169753162478397,1.0169753101466008,1.0169753101465975,1.0076907048770707
2023-01-05,0.9996092618127914,0.9996045103979149,0.9996093651090104,0.9996093581599542,0.9996093581599491,0.9961234218364208
2023-01-06,1.0445450253093769,1.044538419128406,1.044546366606914,1.044546361805578,1.0445463618055728,1.018708540565338
2023-01-09,1.0630807527509982,1.0630829345825776,1.063080668356076,1.063080661885189,1.0630806618851847,1.0181309773686225
2023-01-10,1.0771852908929693,1.0771951029541602,1.077184867858882,1.0771848656084884,1.0771848656084841,1.0252460680979487
2023-01-11,1.0909806582466188,1.090988254259777,1.090977859054023,1.0909778579965925,1.0909778579965885,1.0381317848445395
2023-01-12,1.1065839730100326,1.106592509814573,1.1065770025577735,1.1065769994366974,1.1065769994366939,1.0419045093791233
2023-01-13,1.1103072158136393,1.1103109436039644,1.1103002392236343,1.1103002383302087,1.110300238330206,1.045938873801479
2023-01-17,1.1084296861041407,1.1084463601181156,1.1084198610031748,1.1084198579563789,1.1084198579563767,1.0440210955091371
2023-01-18,1.099149225527797,1.0991636765317798,1.099139426891998,1.0991394249609685,1.0991394249609665,1.0274064523540332
2023-01-19,1.0708799183849704,1.0708915485969097,1.0708714204517484,1.0708714163375126,1.0708714163375093,1.0198997563557186
2023-01-20,1.1046268666686128,1.10464789579533,1.104615208819147,1.1046152050997384,1.104615205099735,1.0387248304175838
2023-01-23,1.1616750638088182,1.161701410314458,1.1616595822789153,1.161659570129305,1.1616595701293033,1.0511139511154555
2023-01-24,1.1511510496834765,1.1511737428797353,1.1511360631942147,1.1511360541834457,1.151136054183444,1.0499851317025062
2023-01-25,1.150226561190882,1.1502592012148078,1.1502104119381737,1.1502104061428282,1.1502104061428267,1.0503786244433246
2023-01-26,1.1695919245746025,1.1696455283690983,1.1695720527215867,1.1695720534651877,1.169572053465186,1.0618596288297115
2023-01-27,1.1551767694707664,1.1552223441193223,1.155161405758165,1.1551614031651234,1.1551614031651232,1.0642965651357568
2023-01-30,1.1301626225454033,1.130190614945909,1.130149193703856,1.1301491942244473,1.130149194224446,1.0508586450781259
2023-01-31,1.1516567548782461,1.1516822229480674,1.151644401005834,1.1516444070746978,1.1516444070746985,1.0661972733139407
2023-02-01,1.2106789644475742,1.2107220373795289,1.2106625258285582,1.2106625334012346,1.210662533401238,1.0774687085783323
2023-02-02,1.248329242607784,1.2483842338073834,1.2483140136973816,1.2483140222731204,1.2483140222731195,1.0930403919665448
2023-02-03,1.232180300569705,1.2322385706697323,1.2321706646196644,1.2321706737724822,1.2321706737724856,1.0813602241750226
2023-02-06,1.1964597535795878,1.1965242965243885,1.1964568611092499,1.1964568717081414,1.1964568717081439,1.0747312823487498
2023-02-07,1.2267421916826113,1.2268095397790768,1.2267390793585828,1.2267390898427042,1.2267390898427062,1.088696122428222
2023-02-08,1.1975709485839432,1.1976443846191838,1.197568430859505,1.19756844131455,1.1975684413145495,1.076726004844163
2023-02-09,1.1938247714745986,1.1939085691517783,1.1938231236420893,1.193823134555963,1.1938231345559667,1.0673507959667707
2023-02-10,1.179337081986517,1.1794115985487683,1.1793301234369842,1.1793301334124866,1.1793301334124935,1.0698387671376315
2023-02-13,1.2001809776581183,1.2002546620051355,1.2001739790945383,1.20017398886694,1.2001739888669465,1.0823246090970013
2023-02-14,1.219895844156484,1.2199684467461684,1.2198865403303683,1.2198865486892023,1.2198865486892039,1.0818264876584842
2023-02-15,1.2129393740093783,1.21300837428939,1.2129363661152388,1.2129363762523968,1.212936376252398,1.0853338970918067
2023-02-16,1.181326027584155,1.1813985350485858,1.1813242229293242,1.1813242339534091,1.1813242339534205,1.0702862873405439
2023-02-17,1.160098385676217,1.1601758713786656,1.1600985905625916,1.1600986025871673,1.1600986025871791,1.0676091155539666
2023-02-21,1.1170058810831685,1.1170847533771144,1.1170086661745882,1.1170086771087295,1.1170086771087366,1.0459741954307313
2023-02-22,1.1072893602758984,1.1073651561169708,1.1072923750143315,1.107292385211292,1.1072923852112968,1.0445316659218908
2023-02-23,1.1349367009954623,1.1350150179178464,1.1349380700727079,1.1349380789424406,1.1349380789424413,1.0500730189063314
2023-02-24,1.1124240669823948,1.1125002472040364,1.1124262787224517,1.1124262876120325,1.1124262876120334,1.038795483078387
2023-02-27,1.1124535591230458,1.1125346946273846,1.1124599264866621,1.112459935840618,1.1124599358406158,1.0423275944906547
2023-02-28,1.1162674378010622,1.1163483756402657,1.1162745288557725,1.1162745381095467,1.1162745381095456,1.038468039395449
2023-03-01,1.1235568466894241,1.1236344167620729,1.1235610896205284,1.1235610987362956,1.1235610987362978,1.0344768370526156
2023-03-02,1.1382663943291387,1.138338620629417,1.1382664370657662,1.1382664453888367,1.1382664453888354,1.0424912117319043
2023-03-03,1.1400628755304765,1.1401460180334513,1.140067567924982,1.1400675783824126,1.1400675783824081,1.0590778460491581
2023-03-06,1.1264886785889912,1.1265741430239897,1.1264947270027477,1.1264947391444438,1.12649473914444,1.0598110367540894
2023-03-07,1.1125897400916487,1.1126826756016315,1.1125996804941474,1.1125996953489272,1.1125996953489221,1.0434397315990467
2023-03-08,1.1422562014847883,1.142353439856297,1.1422674960353587,1.14226751054316,1.1422675105431535,1.0451415732151665
2023-03-09,1.1293146088899466,1.1294121603839045,1.129324661659401,1.1293246807614512,1.1293246807614474,1.0256787901113922
2023-03-10,1.1178034253570825,1.117896329522206,1.1178097690886515,1.1178097908772913,1.1178097908772904,1.0107708797585422
2023-03-13,1.1101173523429884,1.1102138983568273,1.1101237717382715,1.1101237926499201,1.1101237926499188,1.0093292573265997
2023-03-14,1.1423942705540826,1.142492893039363,1.1424009584556112,1.1424009852879602,1.1424009852879575,1.0258770020345618
2023-03-15,1.1323741007402957,1.132460522632252,1.1323758944682711,1.132375925403998,1.1323759254039956,1.019440782278527
2023-03-16,1.1880611863836943,1.188143141734223,1.1880589463913962,1.1880589802106691,1.188058980210665,1.0371720604285892
2023-03-17,1.1794323213101003,1.1795093393378246,1.1794273922092586,1.1794274258169084,1.1794274258169029,1.024973221021467
2023-03-20,1.1822844242111454,1.1823681651310138,1.1822836821685858,1.1822837129946202,1.1822837129946155,1.0347818643739266
2023-03-21,1.1813598781638663,1.1814434257574928,1.1813585084602587,1.181358534747745,1.1813585347477384,1.0482806254068282
2023-03-22,1.170685998211598,1.170768709124031,1.1706835178673276,1.1706835471774217,1.1706835471774135,1.0302571222516619
2023-03-23,1.2090248855441477,1.209107509932397,1.2090199928472096,1.2090200206013362,1.2090200206013293,1.0330385539700395
2023-03-24,1.1899067289633107,1.189975050209832,1.1898947566564382,1.1898947818806787,1.1898947818806735,1.0397952591753548
2023-03-27,1.1737779915572215,1.1738397307731394,1.173763479305236,1.1737635029135225,1.1737635029135174,1.041737626121337
2023-03-28,1.166305438687171,1.1663700880895551,1.1662914915842926,1.1662915157097484,1.1662915157097442,1.0393966143072062
2023-03-29,1.2250220892516288,1.22508620999055,1.2250061217631067,1.225006146896469,1.2250061468964684,1.0543954451488036
2023-03-30,1.2415830806607806,1.2416495429554875,1.2415712228863356,1.241571252288521,1.2415712522885198,1.0605510858339318
2023-03-31,1.2447375471587399,1.2448021810277246,1.244725040038996,1.2447250741740894,1.2447250741740867,1.0753948330663679
2023-04-03,1.2330601915228492,1.2331270256411426,1.2330464766320801,1.2330465112476643,1.2330465112476623,1.0794849438430345
2023-04-04,1.2089243037438377,1.2089940464307518,1.208911777860747,1.2089118097592433,1.2089118097592406,1.0734792599481822
2023-04-05,1.1895962907887476,1.189655840395538,1.189582831293538,1.1895828628608582,1.189582862860857,1.0706648762279016
2023-04-06,1.1840995759047164,1.1841634887798063,1.1840894492440912,1.184089482779322,1.1840894827793282,1.0748333143799507
2023-04-10,1.204303071793286,1.2043735911973301,1.2042932840979268,1.2042933169543415,1.2042933169543502,1.0759359599301475
2023-04-11,1.2021257242139949,1.2021976602346292,1.2021169110746306,1.2021169446794515,1.2021169446794593,1.0762247488519132
2023-04-12,1.1810389482716106,1.1811120147157954,1.1810317303948696,1.1810317648227409,1.1810317648227522,1.0718290327140336
2023-04-13,1.1909712838383664,1.1910450167462079,1.190965126470019,1.1909651611752057,1.1909651611752186,1.0859723134373893
2023-04-14,1.1878251071309045,1.1878965685768026,1.1878182838032902,1.1878183181847908,1.187818318184804,1.0833161962275737
2023-04-17,1.1907957316843139,1.1908672813318835,1.190789408178386,1.1907894412406013,1.1907894412406175,1.0871963952415349
2023-04-18,1.1955036255603915,1.1955774322565795,1.1954973475023007,1.1954973811354985,1.1954973811355163,1.0879052794269284
2023-04-19,1.1756464902259414,1.1757166163634836,1.175639534230814,1.175639567567272,1.1756395675672877,1.0877214836393156
2023-04-20,1.1774130935779281,1.1774799426680302,1.177400081008719,1.1774001145911606,1.1774001145911652,1.0817695156925196
2023-04-21,1.1611093500222311,1.1611708315241576,1.1611004983837898,1.1611005351351946,1.161100535135199,1.0826094808512976
2023-04-24,1.1514091064240595,1.1514715981437302,1.1514019428739548,1.1514019801106508,1.1514019801106519,1.0837384731057063
2023-04-25,1.1141380668158802,1.1141946787751456,1.1141282627367382,1.1141282976108122,1.1141282976108111,1.0663972870875376
2023-04-26,1.1235047172547659,1.1235568371611089,1.1234866910648753,1.1234867172393572,1.1234867172393592,1.0618707845455793
2023-04-27,1.1318638596271664,1.1319084473530916,1.131840740958337,1.131840764671549,1.1318407646715485,1.0828028607121205
2023-04-28,1.1554838690446632,1.1555268144981108,1.1554583292775549,1.155458351058353,1.1554583510583558,1.0920055272444136
2023-05-01,1.1543014974654504,1.154355275372776,1.1542800487127396,1.1542800705954352,1.1542800705954377,1.090902378647265
2023-05-02,1.1516460335952348,1.151695586239061,1.1516218611639537,1.1516218799701543,1.1516218799701587,1.0785721587309318
2023-05-03,1.1462015562842682,1.146254598191571,1.1461765838445996,1.146176603164776,1.1461766031647707,1.0711434083324582
2023-05-04,1.1435520353635147,1.1436218905864737,1.143526882256276,1.1435269072428638,1.1435269072428613,1.0635293360809024
2023-05-05,1.16435098479422,1.1644217354748483,1.1643241559309554,1.1643241838451888,1.1643241838451859,1.0830381479050457
2023-05-08,1.164252888998689,1.1643229866214502,1.1642233349116693,1.1642233621861369,1.1642233621861369,1.0833267158049709
2023-05-09,1.146750747691045,1.1468256166390836,1.1467226871032599,1.1467227167055618,1.146722716705563,1.0785654785518863
2023-05-10,1.1537444783327513,1.153820577765991,1.153717344662173,1.153717372809165,1.153717372809166,1.0835932544964122
2023-05-11,1.1405157587967876,1.140595040047507,1.1404889548465984,1.1404889823660924,1.1404889823660922,1.0817015902121472
2023-05-12,1.142648205520413,1.142727693700371,1.1426217573681854,1.1426217854854623,1.1426217854854612,1.0802834837170652
2023-05-15,1.177525331166718,1.1776048714983665,1.1774949573119593,1.1774949867205917,1.1774949867205882,1.0840041190482523
2023-05-16,1.1689787963056304,1.1690610303598252,1.168946888807483,1.1689469207233967,1.1689469207233947,1.0767358055482872
2023-05-17,1.1991448964485798,1.199231230834973,1.199109772751375,1.1991098078073252,1.1991098078073217,1.08972748472989
2023-05-18,1.2333368432211176,1.2334270886737948,1.2332997977606648,1.233299832968654,1.2332998329686495,1.1001749424927458
2023-05-19,1.2297460022354305,1.2298388610905169,1.2297107094393502,1.229710745878631,1.229710745878629,1.0985727664950518
2023-05-22,1.2364068901413692,1.236502246156492,1.2363728293600842,1.2363728649976253,1.2363728649976264,1.099018958884876
2023-05-23,1.2192966068953577,1.219393000687403,1.2192641669097675,1.2192642042746271,1.2192642042746302,1.0866152491333843
2023-05-24,1.1947875093353404,1.1948837451768197,1.1947543534594287,1.194754394331497,1.1947543943315002,1.0787141301341754
2023-05-25,1.2397672307256682,1.2398751496010527,1.2397254884195328,1.2397255393480295,1.2397255393480318,1.0880154660119692
2023-05-26,1.3237335279469753,1.3238406403262388,1.323684737392308,1.3236847903743616,1.323684790374371,1.1020154219011085
2023-05-30,1.321337840580868,1.3214245820444321,1.321286170095744,1.3212862182653038,1.3212862182653105,1.1024351388928424
2023-05-31,1.2930478175876279,1.2931275645294278,1.2929962175908585,1.2929962609144268,1.2929962609144292,1.0963050105175796
2023-06-01,1.308939777429567,1.3090201483879895,1.3088893820210479,1.3088894251622178,1.3088894251622218,1.1066718377171787
2023-06-02,1.3077459165936702,1.3078263319463839,1.3076955933298853,1.3076956353742235,1.3076956353742266,1.1225610013148015
2023-06-05,1.2782521096606947,1.2783338530143642,1.2782013205023948,1.2782013609244922,1.278201360924496,1.1204076820924895
2023-06-06,1.3013873490118346,1.3014583499616241,1.3013309343219313,1.3013309742219097,1.3013309742219141,1.12284481288623
2023-06-07,1.3168990923990231,1.316967035327437,1.3168452354220654,1.3168452754455093,1.3168452754455136,1.118955484801349
2023-06-08,1.3225853178440583,1.3226509808018365,1.322528777589252,1.3225288177492607,1.322528817749265,1.125703383640617
2023-06-09,1.3204689938645207,1.3205356692723578,1.3204098946568763,1.3204099340244513,1.3204099340244568,1.1277213274641884
2023-06-12,1.3640238527208326,1.3640871174877465,1.3639573638772562,1.3639574034228583,1.3639574034228639,1.1379056425094294
2023-06-13,1.3896308450021158,1.3896875319294926,1.3895638174128064,1.3895638578394522,1.389563857839457,1.145383165798881
2023-06-14,1.3985310009612177,1.3985837113927135,1.3984609230569591,1.3984609625060171,1.398460962506021,1.1467463063861227
2023-06-15,1.39123392051159,1.3912867385604597,1.391165802107366,1.3911658425595457,1.3911658425595483,1.1608759178013122
2023-06-16,1.38877423822708,1.3888166076834338,1.388701366324961,1.3887014064086278,1.3887014064086298,1.1569150832538313
2023-06-20,1.3700554166045125,1.3700998132299316,1.36998345605295,1.3699834952617453,1.369983495261748,1.1508971546352942
2023-06-21,1.337469711918745,1.3375129047193186,1.3374001043713597,1.3374001427422944,1.3374001427422972,1.1449850577820546
2023-06-22,1.3482115772952938,1.3482554375446099,1.3481409258898607,1.348140965005454,1.348140965005457,1.1491107108878538
2023-06-23,1.323560157445781,1.323599970219004,1.3234872839252576,1.3234873211259337,1.3234873211259364,1.1403902730374436
2023-06-26,1.3364428078089874,1.3364758191797443,1.336366562172995,1.3363666001312946,1.3363666001312966,1.1357215480725216
2023-06-27,1.385975237898128,1.3860154734258443,1.3859010363905235,1.3859010766443705,1.385901076644373,1.1481050460858535
2023-06-28,1.3684994802440733,1.368543698319904,1.3684297638061629,1.3684298035712237,1.3684298035712261,1.1486839403081324
2023-06-29,1.36947764179982,1.3695267403161777,1.3694159315256986,1.3694159727972088,1.369415972797212,1.1532025032552806
2023-06-30,1.3886462477717525,1.3886980220893452,1.3885893222964667,1.3885893647356138,1.3885893647356173,1.1667314123360344
2023-07-03,1.4024925656033111,1.4025388192694492,1.402430259644128,1.4024303010510675,1.4024303010510717,1.1680730318383685
2023-07-05,1.3680329491513066,1.3680818392362686,1.3679746468439626,1.3679746876326724,1.3679746876326768,1.1663345862422616
2023-07-06,1.3516530398914903,1.3517071632827486,1.3515949417280335,1.3515949829383782,1.3515949829383826,1.157165617028516
2023-07-07,1.3486038765149126,1.3486513117789118,1.3485432607362802,1.3485432998445395,1.348543299844544,1.1542400803784467
2023-07-10,1.3758562247178083,1.375915024954887,1.3758002009948553,1.3758002469303228,1.3758002469303274,1.1571582207106816
2023-07-11,1.3787618230662975,1.378814953020092,1.3786993913525014,1.3786994359249936,1.3786994359249978,1.1645039911704484
2023-07-12,1.4002848901556941,1.400338528267081,1.4002263766815497,1.4002264210584514,1.4002264210584556,1.173836054968037
2023-07-13,1.4269757222046973,1.4270224297007013,1.4269090084148157,1.4269090506076338,1.4269090506076392,1.1831157834455517
2023-07-14,1.4123942414785944,1.4124451416600963,1.4123263556632066,1.4123263974107878,1.4123263974107931,1.1823787925468583
2023-07-17,1.4387373055675534,1.4387829414292,1.4386636450465875,1.4386636876167667,1.4386636876167715,1.1864771556243854
2023-07-18,1.4416156100755846,1.4416628222810761,1.4415418255359127,1.4415418693737727,1.441541869373778,1.1952607579189458
2023-07-19,1.4280468094216534,1.4280927460994894,1.4279779839622337,1.4279780286330086,1.4279780286330135,1.197915879512635
2023-07-20,1.3771048919609339,1.3771582773180868,1.3770451925001308,1.3770452421412533,1.377045242141258,1.1899416550329587
2023-07-21,1.3986952116449687,1.3987542272058662,1.3986416538283175,1.3986417092897496,1.3986417092897543,1.1899416550329587
2023-07-24,1.397272501787979,1.397332757503559,1.397216754075976,1.397216808266101,1.3972168082661056,1.1952458299164461
2023-07-25,1.419293332105319,1.4193509822691501,1.4192323228968162,1.4192323762075778,1.419232376207583,1.1985043758046534
2023-07-26,1.4001188105187574,1.4001422286433536,1.4000314029638834,1.400031445709709,1.400031445709712,1.1986886421093446
2023-07-27,1.4235890879332906,1.4235869861952184,1.4234926417662521,1.4234926838079367,1.4234926838079391,1.1907148883052903
2023-07-28,1.4540877917949333,1.4540646333490364,1.4539848409446086,1.4539848808973825,1.4539848808973836,1.2023157191013245
2023-07-31,1.4533551928377184,1.4533399043286346,1.4532615584415045,1.453261601164285,1.4532616011642872,1.2046027935563655
2023-08-01,1.450781578153447,1.4507613121328102,1.4506843364034665,1.4506843752461696,1.4506843752461718,1.2011505888489231
2023-08-02,1.3966247991702605,1.3966038291893759,1.396533406956844,1.3965334473904845,1.3965334473904865,1.1843243785784792
2023-08-03,1.3927118949040291,1.3927120272023383,1.3926173805785533,1.3926174183927058,1.3926174183927071,1.1809254182243427
2023-08-04,1.3923039819385659,1.3922862873703894,1.392197712183143,1.392197745585898,1.3921977455858991,1.175572189811132
2023-08-07,1.405865399445628,1.4058616797531234,1.4057586736389296,1.4057587069660946,1.405758706966096,1.1857888031403048
2023-08-08,1.3797787401854056,1.3797696399890693,1.3796765813793173,1.3796766153968911,1.379676615396892,1.1806208561876326
2023-08-09,1.365621494196465,1.3656190116652396,1.3655255577447198,1.3655255943903355,1.3655255943903366,1.1727017553317642
2023-08-10,1.363400417200014,1.363398388344783,1.363305557143216,1.363305594862221,1.3633055948622217,1.1731224647077814
2023-08-11,1.332158821883193,1.3321512247776557,1.3320696743654394,1.3320697144194256,1.3320697144194251,1.1724383969788117
2023-08-14,1.361478646365205,1.3614733347863182,1.3613890528713073,1.3613890927292545,1.3613890927292538,1.1788923051568598
2023-08-15,1.3362375426773785,1.336234292176841,1.3361527796474195,1.3361528176203863,1.3361528176203865,1.1650789106519368
2023-08-16,1.3128982947876418,1.3128977993216857,1.312817185375673,1.3128172242568408,1.3128172242568414,1.156497937721448
2023-08-17,1.3053194400814356,1.3053275550587848,1.3052421402269674,1.3052421804525782,1.3052421804525798,1.1476518376774743
2023-08-18,1.316392410852594,1.3164128618862962,1.316316869399847,1.3163169099649925,1.3163169099649943,1.1482041599895227
2023-08-21,1.3402861395853471,1.3403089634746939,1.3402086059906757,1.340208644044359,1.3402086440443615,1.1556504621335053
2023-08-22,1.3318412421478734,1.33186811473269,1.3317649151377902,1.3317649551143542,1.3317649551143564,1.1525160044276652
2023-08-23,1.3568304247765883,1.3568492194502375,1.3567489133035289,1.3567489528084036,1.3567489528084056,1.1652814419527582
2023-08-24,1.3076562955151092,1.3076780137675799,1.3075825377036865,1.3075825786298212,1.3075825786298227,1.1490187562154066
2023-08-25,1.3153232727881197,1.3153477479291915,1.3152530679065542,1.315253111031118,1.3152531110311187,1.157090642409155
2023-08-28,1.3303710803797468,1.3303947323350596,1.3302967937027086,1.3302968369766976,1.3302968369766983,1.1644050464303335
2023-08-29,1.3571241079564342,1.3571488084934145,1.3570462041305962,1.3570462460510795,1.35704624605108,1.1811157667666308
2023-08-30,1.3616738885373012,1.3616987282742004,1.3615907394301001,1.361590779816504,1.3615907798165041,1.1859705673440295
